title,link,snippet
Leveraging Knowledge Graphs for Zero-Shot Object-agnostic State Classification,https://arxiv.org/abs/2307.12179,"We investigate the problem of Object State Classification (OSC) as a zero-shot learning problem. Specifically, we propose the first Object-agnostic State Classification (OaSC) …"
ProZe: Explainable and Prompt-Guided Zero-Shot Text Classification,https://ieeexplore.ieee.org/abstract/document/9822405/,"As technology accelerates the generation and communication of textual data, the need to automatically understand this content becomes a necessity. In order to classify text, being it …"
面向图神经网络的知识图谱嵌入研究进展.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=16739418&AN=169862325&h=%2F%2B6ukx2i407qWBAdunqi1vYoFizsMy%2Fn%2BqAHIxDuS%2Fcnbx5jdnLI9ZYUoBz9jiV64bCDgYdnLik0LLhchLOJ3Q%3D%3D&crl=c,"随着图神经网络的发展, 基于图神经网络的知识图谱嵌入方法日益受到研究人员的关注. 相比传统的方法, 它可以更好地处理实体的多样性和复杂性, 并捕捉实体的多重特征和复杂关系 …"
TAGLETS: A system for automatic semi-supervised learning with auxiliary data,https://proceedings.mlsys.org/paper_files/paper/2022/hash/294f82c43d69f66c04440cbb2740e52d-Abstract.html,"Abstract Machine learning practitioners often have access to a spectrum of data: labeled data for the target task (which is often limited), unlabeled data, and auxiliary data, the many …"
Top2Label: Explainable zero shot topic labelling using knowledge graphs,https://www.sciencedirect.com/science/article/pii/S0957417423031780,"Automatic topic labelling aims to generate coherent, interpretable, and meaningful labels to facilitate the interpretation of various topics within a corpus of documents. Typically, we …"
Semantic matching for text classification with complex class descriptions,https://aclanthology.org/2023.emnlp-main.475/,"Text classifiers are an indispensable tool for machine learning practitioners, but adapting them to new classes is expensive. To reduce the cost of new classes, previous work exploits …"
Towards Neural Network Interpretability Using Commonsense Knowledge Graphs,https://link.springer.com/chapter/10.1007/978-3-031-19433-7_5,"Convolutional neural networks (CNNs) classify images by learning intermediate representations of the input throughout many layers. In recent work, latent representations of …"
Zero-shot fine-grained entity typing in information security based on ontology,https://www.sciencedirect.com/science/article/pii/S0950705121007346,"The field of information security suffers from the lack of labelled entities. This study proposes a zero-shot hybrid approach, combining a clustering algorithm with a method for …"
Shifted Window Based Self-Attention via Swin Transformer for Zero-Shot Learning,https://publications.waset.org/10013271/shifted-window-based-self-attention-via-swin-transformer-for-zero-shot-learning,"Generalised Zero-Shot Learning, often known as GZSL, is an advanced variant of zero-shot learning in which the samples in the unseen category may be either seen or unseen. GZSL …"
Integrating Noisy Knowledge into Language Representations for E-Commerce Applications,https://ieeexplore.ieee.org/abstract/document/10386615/,Integrating structured knowledge into language model representations increases recall of domain-specific information useful for downstream tasks. Matching between knowledge …
